season,week,n_active,true_k,true_eliminated,pred_rank_eliminated,pred_pct_eliminated,rank_exact_match,pct_exact_match,diff_rank_vs_pct_elim,corr_rank_combined_vs_voteRank,corr_rank_combined_vs_judgeRank,bias_rank_vote_minus_judge,corr_pct_combined_vs_voteRank,corr_pct_combined_vs_judgeRank,bias_pct_vote_minus_judge
1,3,5,0,[],[],[],1,1,0,0.44721359549995787,0.44721359549995787,0.0,-0.09999999999999999,0.7,-0.7999999999999999
1,4,4,0,[],[],[],1,1,0,0.7745966692414834,0.7745966692414834,0.0,0.39999999999999997,0.7999999999999999,-0.39999999999999997
1,5,3,0,[],[],[],1,1,0,0.5,0.5,0.0,0.5,0.5,0.0
2,2,9,0,[],[],[],1,1,0,0.8403658068160178,0.8312310281002673,0.009134778715750524,0.8166666666666667,0.8451956828432803,-0.02852901617661363
2,3,8,0,[],[],[],1,1,0,0.4000661320993194,0.6809944107948871,-0.2809282786955677,0.4047619047619048,0.614502433207647,-0.20974052844574215
2,4,7,0,[],[],[],1,1,0,0.3091420111676559,0.29359033736702955,0.015551673800626331,0.6071428571428572,-0.12613124477737825,0.7332741019202355
2,5,6,0,[],[],[],1,1,0,0.5507824838698261,0.3768511731740915,0.1739313106957346,0.8285714285714287,-0.14285714285714288,0.9714285714285716
2,6,5,0,[],[],[],1,1,0,0.28867513459481287,0.0,0.28867513459481287,0.9999999999999999,-0.9486832980505137,1.9486832980505135
2,7,4,0,[],[],[],1,1,0,0.316227766016838,0.5000000000000001,-0.18377223398316211,1.0,-0.632455532033676,1.632455532033676
3,2,10,0,[],[],[],1,1,0,0.5627148132868065,0.30745934690622106,0.25525546638058544,0.8424242424242423,-0.28926500380143194,1.1316892462256742
3,3,9,0,[],[],[],1,1,0,0.5362916143780116,0.4644523605423946,0.07183925383561707,0.7333333333333334,0.2273366604543674,0.505996672878966
3,4,8,0,[],[],[],1,1,0,0.6988459044322258,0.6049843779478737,0.09386152648435209,0.6428571428571429,0.6587325492402599,-0.01587540638311702
3,5,7,0,[],[],[],1,1,0,0.2727723627949905,0.5578655678293358,-0.2850932050343453,0.8214285714285715,-0.15936381457791915,0.9807923860064907
3,6,5,0,[],[],[],1,1,0,0.6324555320336759,0.10540925533894596,0.5270462766947299,-0.19999999999999998,0.7,-0.8999999999999999
3,8,4,0,[],[],[],1,1,0,0.9486832980505139,0.8333333333333335,0.1153499647171804,0.7999999999999999,0.9486832980505139,-0.14868329805051395
3,9,3,0,[],[],[],1,1,0,1.0,,,1.0,,
4,3,10,0,[],[],[],1,1,0,0.5471149893120582,0.6767670565601562,-0.12965206724809808,0.8909090909090909,0.17738936765877056,0.7135197232503203
4,4,9,0,[],[],[],1,1,0,0.5316881677189249,0.33191789877230743,0.19977026894661748,0.5833333333333334,0.10084389681792215,0.4824894365154112
4,5,8,0,[],[],[],1,1,0,0.467074242146171,0.5389318178609664,-0.07185757571479545,0.0,0.8333333333333335,-0.8333333333333335
4,6,7,0,[],[],[],1,1,0,0.3335621924974956,0.3178819766028754,0.015680215894620153,0.7857142857142859,-0.3243374865704013,1.1100517722846872
4,7,6,0,[],[],[],1,1,0,0.3188740696088466,0.5075192189225523,-0.18864514931370563,0.3714285714285715,0.44136741475237473,-0.06993884332380323
4,8,5,0,[],[],[],1,1,0,0.22360679774997894,0.22360679774997894,0.0,-0.3,0.39999999999999997,-0.7
