alpha0,kappa,returncode,status,overall_consistency_map,overall_consistency_mean,consistency_map_rank,consistency_map_percent,consistency_mean_rank,consistency_mean_percent,accept_rate_mean,accept_rate_median,accept_rate_min,accept_rate_max,ci_width_mean,ci_width_median,ci_width_min,ci_width_max,rel_ci_width_mean,rel_ci_width_median,rel_ci_width_min,rel_ci_width_max,margin_map_median,margin_map_min,rank_mean_mismatch_weeks,no_elimination_weeks,num_weeks_evaluated,num_rows_fan
1.0,10.0,0,ok,1.0,1.0,1.0,1.0,1.0,1.0,0.28546766244205496,0.1905487804878048,3e-05,1.0,0.2569128561605193,0.2674809353007465,0.0144771304804104,0.4914762249915275,2.455997248298766,2.568493036256428,0.2686874611478896,4.380767472957331,0.0118539355050295,0.0,0,40,301,2659
1.0,40.0,0,ok,1.0,1.0,1.0,1.0,1.0,1.0,0.2882763572258327,0.1923076923076923,5e-05,1.0,0.1515555490213448,0.1477365859558742,0.0194366977984736,0.451187606881021,1.4813122973165533,1.3464960104379629,0.1540357157954622,3.099273123379264,0.0091557052101249,0.0,0,40,301,2659
1.0,120.0,0,ok,1.0,1.0,1.0,1.0,1.0,1.0,0.2966877460726833,0.1946282600233554,5e-05,1.0,0.10294050816674838,0.0852675300325869,0.0110116491632815,0.451187606881021,1.0430266927902552,0.7891590691215192,0.1093046770909029,3.099273123379264,0.0055060154445128,0.0,0,40,301,2659
5.0,10.0,0,ok,1.0,1.0,1.0,1.0,1.0,1.0,0.2840503577079936,0.1854599406528189,8e-05,1.0,0.23846409910567432,0.2651849294680769,0.0122156740006567,0.4913308366565592,2.229901135966607,2.306807652071996,0.3891570178338205,5.0231820254655775,0.0095045174887161,0.0,0,40,301,2659
5.0,40.0,0,ok,1.0,0.9966777408637874,1.0,1.0,0.9871794871794872,1.0,0.2859039793253375,0.1887504718761797,8e-05,1.0,0.1334193085216664,0.1382119581536368,0.0249798333924353,0.250593936976744,1.2562721530899756,1.300762053850404,0.273031811571689,2.1514046290385336,0.0082553159664434,0.0,1,40,301,2659
5.0,120.0,0,ok,1.0,1.0,1.0,1.0,1.0,1.0,0.29715375838624053,0.2007226013649136,6e-05,1.0,0.0849200428528943,0.0849754168645823,0.0152749492665007,0.2258358615373775,0.8182937983149722,0.7919460327853163,0.1761712822303126,1.5235098461147711,0.0062668216767476,0.0,0,40,301,2659
20.0,10.0,0,ok,1.0,1.0,1.0,1.0,1.0,1.0,0.28849633850476597,0.1917913310318373,7e-05,1.0,0.23014867877425615,0.2643212517304078,0.0129838518844073,0.4840274021901089,2.1251233379513055,2.316377110032025,0.4127210999831315,4.387878750738497,0.0086954339487332,0.0,0,40,301,2659
20.0,40.0,0,ok,1.0,0.9966777408637874,1.0,1.0,0.9871794871794872,1.0,0.28890892491432957,0.1886080724254998,0.00014,1.0,0.12531946988048714,0.1381039004317082,0.0214233180349973,0.245599974739596,1.1547199934380368,1.189207889210795,0.3094715001648536,2.0369347576007244,0.0089458988484402,0.0,1,40,301,2659
20.0,120.0,0,ok,1.0,0.9966777408637874,1.0,1.0,0.9871794871794872,1.0,0.30045673918120014,0.2072109407376709,6e-05,1.0,0.0766979903825376,0.0801081738012629,0.0133396468556065,0.1470889122114974,0.7171524890415962,0.7125292776905422,0.1853063083633045,1.1828704177910725,0.0069771882691798,0.0,1,40,301,2659
